文件大小审计（纯 LOC > 250）
14 个文件超标，总代码量增长不可持续。
文件	纯 LOC	超标倍数	建议
app.rs	2335	9.3×	🔴 最严重问题。应拆分为 ai.rs(AI状态机), model.rs(模型管理), motion.rs(运动控制), camera.rs(镜头) 等模块。
wayland_pet.rs	1434	5.7×	🔴 应拆分：pet/mod.rs, pet/x11.rs, pet/wayland.rs
main.rs	1059	4.2×	🟡 事件循环+GUI配置+初始化混合，拆分到 app.rs 和独立模块
physics.rs	1053	4.2×	🟡 物理引擎应该拆分文件：types.rs, solver.rs, loader.rs
gui.rs	716	2.9×	🟡 各 GUI 面板应该按功能拆分
renderer/mod.rs	598	2.4×	🟡 应该按 shader 程序拆分
model_loader.rs	648	2.6×	🟡 serde 类型应该移到单独文件
db.rs	512	2.0×	🟡 应该分表拆分
motion.rs	379	1.5×	🟢 边界情况
其他 5 个	310-377	1.2-1.5×	🟢 边界值
